                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.8595,                 1.8638,                 1.6339,                0.55406,                0.42641,                0.50404,                 0.2179,                 1.8589,                 1.7393,                 1.8119,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.7872,                 1.8058,                 1.5904,                0.40231,                 0.5656,                0.51202,                0.23351,                 1.7794,                 1.9438,                 1.7624,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.8255,                 1.8157,                 1.6368,                0.50157,                0.40931,                0.43235,                 0.2187,                 1.7472,                 1.8789,                 1.7407,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.7331,                 1.7391,                 1.5347,                0.48742,                0.52056,                0.56068,                 0.2891,                 1.8156,                 1.7233,                 1.7863,               0.000557,               0.000557,               0.000557
                     59,                 1.8535,                 1.8638,                 1.6435,                0.54951,                0.56739,                0.58894,                0.31645,                 1.6891,                 1.6787,                 1.7051,             0.00054463,             0.00054463,             0.00054463
                     60,                  1.804,                 1.7959,                 1.5995,                0.49125,                0.45373,                0.51856,                0.26881,                  1.816,                 1.8176,                 1.7853,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.8487,                 1.7539,                 1.6499,                0.45303,                0.45496,                0.48274,                0.24689,                 1.7757,                 1.7093,                 1.7064,             0.00051988,             0.00051988,             0.00051988
                     62,                  1.759,                 1.7647,                 1.6152,                 0.5225,                0.53311,                 0.5551,                0.28884,                 1.6996,                 1.7095,                 1.6907,              0.0005075,              0.0005075,              0.0005075
                     63,                 1.7842,                  1.762,                 1.6176,                0.71153,                0.57381,                0.65318,                0.35136,                  1.709,                 1.6135,                 1.6989,             0.00049513,             0.00049513,             0.00049513
                     64,                   1.76,                 1.7531,                 1.5912,                0.53715,                0.56525,                0.59918,                0.27485,                 1.8352,                 1.6785,                 1.7851,             0.00048275,             0.00048275,             0.00048275
                     65,                  1.864,                 1.8073,                 1.6241,                0.54892,                0.48257,                  0.538,                0.27727,                 1.7546,                 1.6239,                 1.7572,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.7743,                 1.7935,                 1.5879,                0.60166,                0.45386,                0.50169,                0.23269,                 1.8329,                 1.7106,                 1.7505,               0.000458,               0.000458,               0.000458
                     67,                 1.7285,                 1.7095,                 1.5305,                0.50012,                0.50271,                0.51174,                0.28283,                   1.78,                 1.6676,                 1.7381,             0.00044563,             0.00044563,             0.00044563
                     68,                 1.7902,                 1.7175,                 1.5779,                0.54328,                0.52702,                0.54682,                0.27612,                 1.8266,                 1.6794,                 1.7345,             0.00043325,             0.00043325,             0.00043325
                     69,                 1.7602,                 1.6862,                 1.5913,                0.67563,                 0.5993,                0.63816,                0.34406,                 1.7435,                 1.5705,                 1.6985,             0.00042087,             0.00042087,             0.00042087
                     70,                 1.7522,                 1.6482,                 1.5828,                0.61897,                0.45815,                0.57815,                0.28453,                 1.8573,                 1.7224,                  1.785,              0.0004085,              0.0004085,              0.0004085
                     71,                 1.8207,                 1.7779,                 1.5899,                0.56848,                0.55892,                0.55797,                0.25082,                 1.8363,                 1.7121,                 1.7589,             0.00039613,             0.00039613,             0.00039613
                     72,                 1.7329,                 1.6807,                 1.5711,                0.61343,                0.59815,                0.67193,                 0.3545,                 1.7727,                 1.5896,                 1.7498,             0.00038375,             0.00038375,             0.00038375
                     73,                 1.8219,                 1.7196,                 1.5883,                0.67028,                 0.4908,                0.62267,                 0.2799,                 1.8449,                 1.6667,                  1.753,             0.00037138,             0.00037138,             0.00037138
                     74,                 1.7693,                 1.6566,                 1.5733,                0.63036,                0.57051,                0.66429,                0.36658,                 1.7224,                 1.6013,                 1.6966,               0.000359,               0.000359,               0.000359
                     75,                 1.7149,                 1.6062,                 1.5265,                0.71309,                0.52793,                0.66254,                0.33039,                  1.757,                 1.5741,                 1.6985,             0.00034663,             0.00034663,             0.00034663
                     76,                 1.7068,                 1.5632,                 1.5224,                0.61511,                 0.6058,                0.61634,                 0.3137,                 1.7473,                 1.5552,                 1.7279,             0.00033425,             0.00033425,             0.00033425
                     77,                 1.7496,                 1.6881,                 1.5383,                0.61025,                0.64608,                0.61105,                0.31238,                  1.737,                 1.6101,                 1.7028,             0.00032188,             0.00032188,             0.00032188
                     78,                  1.746,                 1.7684,                 1.6371,                0.71242,                0.51563,                0.64924,                0.33547,                 1.7164,                 1.5828,                 1.6694,              0.0003095,              0.0003095,              0.0003095
                     79,                 1.6916,                 1.6496,                 1.5481,                0.74899,                0.61256,                0.67347,                0.33238,                 1.7182,                 1.5712,                 1.6891,             0.00029713,             0.00029713,             0.00029713
                     80,                 1.6972,                 1.6363,                 1.5545,                0.70484,                0.62185,                0.69433,                0.36657,                 1.7537,                 1.5584,                 1.7273,             0.00028475,             0.00028475,             0.00028475
                     81,                 1.6502,                 1.5403,                  1.499,                0.74061,                0.60867,                0.67218,                0.36946,                 1.7249,                 1.5423,                 1.7264,             0.00027237,             0.00027237,             0.00027237
                     82,                 1.6824,                 1.6004,                 1.4976,                0.64227,                0.58416,                0.62442,                0.33133,                  1.797,                 1.6178,                 1.7077,                0.00026,                0.00026,                0.00026
                     83,                 1.6872,                 1.5869,                 1.5267,                0.58365,                0.57834,                0.63986,                0.33382,                  1.724,                 1.5409,                 1.6841,             0.00024762,             0.00024762,             0.00024762
                     84,                 1.7053,                 1.5953,                 1.5463,                0.71937,                0.61456,                0.69864,                0.34825,                 1.6983,                 1.4949,                 1.6639,             0.00023525,             0.00023525,             0.00023525
                     85,                 1.6509,                 1.5328,                 1.5143,                0.76508,                0.66997,                0.70104,                0.35171,                 1.7843,                 1.4903,                 1.7118,             0.00022288,             0.00022288,             0.00022288
                     86,                  1.669,                  1.578,                 1.5148,                0.68063,                0.54628,                0.68964,                0.33597,                 1.7461,                 1.4882,                 1.6892,              0.0002105,              0.0002105,              0.0002105
                     87,                 1.6725,                 1.5042,                 1.4857,                0.62085,                0.57532,                0.64285,                0.32717,                 1.8196,                 1.5553,                  1.781,             0.00019813,             0.00019813,             0.00019813
                     88,                 1.6448,                 1.5101,                 1.4631,                0.82831,                0.51205,                0.65021,                0.32087,                 1.8258,                 1.6089,                  1.734,             0.00018575,             0.00018575,             0.00018575
                     89,                 1.7021,                 1.5345,                 1.5458,                0.71924,                0.52573,                0.66201,                0.34534,                 1.7391,                 1.5463,                 1.7252,             0.00017338,             0.00017338,             0.00017338
                     90,                 1.6729,                 1.4879,                 1.5007,                0.74547,                0.64462,                0.70039,                0.36208,                 1.8007,                 1.4989,                 1.7293,               0.000161,               0.000161,               0.000161
                     91,                  1.636,                 1.5877,                 1.5529,                 0.7518,                0.60665,                0.69409,                0.37395,                 1.7764,                 1.4934,                 1.7026,             0.00014862,             0.00014862,             0.00014862
                     92,                 1.6322,                 1.5115,                 1.5098,                0.82733,                0.59375,                0.70021,                0.37864,                 1.7247,                 1.4689,                 1.6878,             0.00013625,             0.00013625,             0.00013625
                     93,                 1.6294,                 1.5618,                 1.5573,                0.79866,                0.59127,                0.69658,                0.37632,                  1.733,                 1.4579,                 1.6877,             0.00012387,             0.00012387,             0.00012387
                     94,                 1.6242,                 1.5007,                 1.5417,                0.73421,                0.63618,                0.67858,                  0.344,                 1.7315,                 1.4538,                 1.6697,              0.0001115,              0.0001115,              0.0001115
                     95,                 1.5876,                 1.4962,                 1.5141,                0.72646,                0.64702,                0.70062,                0.38597,                 1.7074,                 1.4323,                 1.6506,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                 1.5629,                  1.435,                 1.5017,                0.77194,                0.58927,                 0.7114,                0.39229,                 1.7248,                 1.4368,                 1.6552,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                 1.5849,                  1.474,                 1.4815,                0.66603,                0.64378,                 0.6995,                0.36906,                  1.761,                 1.4423,                 1.6872,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                 1.5741,                 1.3884,                 1.4881,                0.69533,                0.64827,                0.69668,                0.37192,                 1.7508,                  1.436,                 1.6756,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                 1.5205,                 1.4009,                 1.4861,                0.74745,                0.63041,                0.71266,                 0.3797,                 1.7148,                 1.4153,                 1.6562,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                 1.5648,                 1.4075,                 1.4863,                0.76808,                0.63178,                0.71535,                0.38362,                 1.6976,                 1.4091,                 1.6538,              3.725e-05,              3.725e-05,              3.725e-05
